code,docstring,,,
"root.attributes('-topmost', True)",How to make a window jump to the front?,,,
root.lift(),How to make a window jump to the front?,,,
"hex(int(''.join([str(int(b)) for b in walls]), 2))",Elegant way to convert list to hex string,,,
"hex(sum(b << i for i, b in enumerate(reversed(walls))))",Elegant way to convert list to hex string,,,
"print(('Total score for', name, 'is', score))",Print multiple arguments in python,,,
"print('Total score for {} is {}'.format(name, score))",Print multiple arguments in python,,,
"print('Total score for %s is %s  ' % (name, score))",Print multiple arguments in python,,,
"print(('Total score for', name, 'is', score))",Print multiple arguments in python,,,
"url('^$', TemplateView.as_view(template_name='your_template.html'))",Is it possible to serve a static html page at the root of a django project?,,,
"df[df['A'].isin([3, 6])]",use a list of values to select rows from a pandas dataframe,,,
instance.__class__.__name__,How to get the concrete class name as a string?,,,
system('/path/to/my/venv/bin/python myscript.py'),How can I execute Python code in a virtualenv from Matlab,,,
"Employees.objects.values_list('eng_name', flat=True)",django models selecting single field,,,
"re.findall('\\d|\\d,\\d\\)', '6,7)')",Python regex findall alternation behavior,,,
input('Press Enter to continue...'),How do I make python to wait for a pressed key,,,
"""""""ABC"""""".encode('hex')",Print string as hex literal python,,,
"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})",python + pymongo: how to insert a new field on an existing document in mongo from a for loop,,,
"re.sub('l+', 'l', 'lollll')","Regex to match 'lol' to 'lolllll' and 'omg' to 'omggg', etc",,,
rows = soup.findAll('tr')[4::5],Getting the nth element using BeautifulSoup,,,
plt.gca().invert_xaxis(),Reverse Y-Axis in PyPlot,,,
plt.gca().invert_yaxis(),Reverse Y-Axis in PyPlot,,,
"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)",How do I stack two DataFrames next to each other in Pandas?,,,
"return HttpResponse(json.dumps(response_data), content_type='application/json')",Creating a JSON response using Django and Python,,,
myString.decode('string_escape'),Process escape sequences in a string,,,
"hashlib.md5(open('filename.exe', 'rb').read()).hexdigest()",How do I calculate the md5 checksum of a file in Python?,,,
"[k for k, v in d.items() if v == desired_value]",Finding key from value in Python dictionary:,,,
{k for d in LoD for k in list(d.keys())},Extract all keys from a list of dictionaries,,,
set([i for s in [list(d.keys()) for d in LoD] for i in s]),Extract all keys from a list of dictionaries,,,
[i for s in [list(d.keys()) for d in LoD] for i in s],Extract all keys from a list of dictionaries,,,
"keys, values = zip(*list(d.items()))","Is there a more elegant way for unpacking keys and values of a dictionary into two lists, without losing consistence?",,,
int(Decimal(s)),Convert a string to integer with decimal in Python,,,
int(s.split('.')[0]),Convert a string to integer with decimal in Python,,,
"numpy.in1d(b, a).all()",Numpy: How to check if array contains certain numbers?,,,
numpy.array([(x in a) for x in b]),Numpy: How to check if array contains certain numbers?,,,
"networkx.draw_networkx_labels(G, pos, labels)",Node labels using networkx,,,
y = [row[:] for row in x],How to make a copy of a 2D array in Python?,,,
"X = numpy.loadtxt('somefile.csv', delimiter=',')",Pythonic way to populate numpy array,,,
matching = [s for s in some_list if 'abc' in s],Check if a Python list item contains a string inside another string,,,
"df.to_csv('mydf.tsv', sep='\t')",How to write/read a Pandas DataFrame with MultiIndex from/to an ASCII file?,,,
"random.sample(list(range(100)), 10)",How do I create a LIST of unique random numbers?,,,
"s.rsplit(',', 1)",Splitting on last delimiter in Python string?,,,
"all(isinstance(x, int) for x in lst)",Python check if all elements of a list are the same type,,,
"all(isinstance(x, int) for x in lst)",Python check if all elements of a list are the same type,,,
line.strip(),Python . How to get rid of '\r' in string?,,,
"driver.execute_script('window.scrollTo(0, Y)')",How can I scroll a web page using selenium webdriver in python?,,,
"driver.execute_script('window.scrollTo(0, document.body.scrollHeight);')",How can I scroll a web page using selenium webdriver in python?,,,
"datetime.datetime.combine(dateobject, datetime.time())",How do I convert a datetime.date object into datetime.datetime in python?,,,
print(any(x in a for x in b)),How to check if one of the following items is in a list?,,,
"scipy.misc.imsave('outfile.jpg', image_array)",Saving a Numpy array as an image,,,
"item = re.sub(' ?\\([^)]+\\)', '', item)",Regex for removing data in parenthesis,,,
"item = re.sub(' ?\\(\\w+\\)', '', item)",Regex for removing data in parenthesis,,,
"item = re.sub(' \\(\\w+\\)', '', item)",Regex for removing data in parenthesis,,,
len(set(list1).intersection(list2)) > 0,Checking if any elements in one list are in another,,,
"i = int(s, 16)",convert hex to decimal,,,
"int('0xff', 16)",convert hex to decimal,,,
"int('FFFF', 16)",convert hex to decimal,,,
ast.literal_eval('0xdeadbeef'),convert hex to decimal,,,
"int('deadbeef', 16)",convert hex to decimal,,,
os.system('screencapture screen.png'),Take screenshot in Python on Mac OS X,,,
"driver.set_window_size(1400, 1000)",How to set window size using phantomjs and selenium webdriver in python,,,
"unicodedata.normalize('NFKD', 'm\xfasica').encode('ascii', 'ignore')",Replace non-ascii chars from a unicode string in Python,,,
"pandas.concat([df1, df2]).drop_duplicates().reset_index(drop=True)",Pandas/Python: How to concatenate two dataframes without duplicates?,,,
